Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"com.CommonUtilities.Verifications.VerifyElementPresentAndStopExecutionIfFailed(findTestObject(""Object Repository/NacacStudentApp/Account/PreferenceHeader""), ""Preferences header is not present in the Notifications tab"")",Chrome 85.0.4183.121,,,2020-10-09 05:11:26,2020-10-09 05:11:27,1.203s,PASSED
"com.CommonUtilities.Verifications.VerifyElementPresentAndStopExecutionIfFailed(findTestObject(""Object Repository/NacacStudentApp/Account/EmailsCheckbox""), ""Emails checkbox is not present in the Notifications tab"")",Chrome 85.0.4183.121,,,2020-10-09 05:11:27,2020-10-09 05:11:28,0.850s,PASSED
"com.CommonUtilities.Verifications.VerifyElementPresentAndStopExecutionIfFailed(findTestObject(""Object Repository/NacacStudentApp/Account/TextMessagesCheckbox""), ""Text Messages checkbox is not present in the Notifications tab"")",Chrome 85.0.4183.121,,,2020-10-09 05:11:28,2020-10-09 05:11:29,0.928s,PASSED
"com.CommonUtilities.Verifications.VerifyElementPresentAndStopExecutionIfFailed(findTestObject(""Object Repository/NacacStudentApp/Intercom""), ""Intercom icon is not present in the Notifications tab"")",Chrome 85.0.4183.121,,,2020-10-09 05:11:29,2020-10-09 05:11:30,0.318s,PASSED
Start listener action : addFailedTCToList,Chrome 85.0.4183.121,,,2020-10-09 05:11:30,2020-10-09 05:11:30,0.138s,ERROR
,,,,,,,
Test Cases/Conventions/NACAC smoke test/NavigationOfTopNavElementsVerifyfication,Chrome 85.0.4183.121,,,2020-10-09 05:11:32,2020-10-09 05:11:42,10.717s,FAILED
Start listener action : executeRows,Chrome 85.0.4183.121,,,2020-10-09 05:11:32,2020-10-09 05:11:32,0.215s,ERROR
waitForPageLoad(0),Chrome 85.0.4183.121,,,2020-10-09 05:11:32,2020-10-09 05:11:32,0.020s,PASSED
"waitForElementClickable(findTestObject(""Object Repository/NacacStudentApp/HomePageElements/EventsHomePage""), 0)",Chrome 85.0.4183.121,,,2020-10-09 05:11:32,2020-10-09 05:11:33,0.361s,PASSED
"click(findTestObject(""Object Repository/NacacStudentApp/HomePageElements/EventsHomePage""))",Chrome 85.0.4183.121,,,2020-10-09 05:11:33,2020-10-09 05:11:33,0.350s,PASSED
waitForPageLoad(0),Chrome 85.0.4183.121,,,2020-10-09 05:11:33,2020-10-09 05:11:33,0.015s,PASSED
delay(3),Chrome 85.0.4183.121,,,2020-10-09 05:11:33,2020-10-09 05:11:36,3.004s,PASSED
println(getUrl()),Chrome 85.0.4183.121,,,2020-10-09 05:11:36,2020-10-09 05:11:36,0.098s,PASSED
"println(studenturl + ""events"")",Chrome 85.0.4183.121,,,2020-10-09 05:11:36,2020-10-09 05:11:36,0.001s,PASSED
"com.CommonUtilities.Verifications.VerifyTextMatch(getUrl(), studenturl + ""events"", ""When click Events top nav the Events page not opened"")",Chrome 85.0.4183.121,,,2020-10-09 05:11:36,2020-10-09 05:11:36,0.052s,PASSED
"com.CommonUtilities.Verifications.VerifyElementPresentAndStopExecutionIfFailed(findTestObject(""Object Repository/NacacStudentApp/Events/WithSupportFromHeader""), ""Sponsers header is not shown in events page"")",Chrome 85.0.4183.121,,,2020-10-09 05:11:36,2020-10-09 05:11:37,0.324s,PASSED
"click(findTestObject(""Object Repository/NacacStudentApp/HomePageElements/VideosButtonInTopNav""))",Chrome 85.0.4183.121,,,2020-10-09 05:11:37,2020-10-09 05:11:37,0.338s,PASSED
waitForPageLoad(0),Chrome 85.0.4183.121,,,2020-10-09 05:11:37,2020-10-09 05:11:37,0.020s,PASSED
"com.CommonUtilities.Verifications.VerifyTextMatch(getUrl(), studenturl + ""videos"", ""When click Videos top nav the Events page not opened"")",Chrome 85.0.4183.121,,,2020-10-09 05:11:37,2020-10-09 05:11:37,0.115s,PASSED
"com.CommonUtilities.Verifications.VerifyElementPresentAndStopExecutionIfFailed(findTestObject(""Object Repository/NacacStudentApp/Videos/ExploreVideosHeader""), ""Explore Videos header is not shown in Videos page"")",Chrome 85.0.4183.121,,,2020-10-09 05:11:37,2020-10-09 05:11:38,0.672s,PASSED
"click(findTestObject(""Object Repository/NacacStudentApp/HomePageElements/FavoritesInTopNav""))",Chrome 85.0.4183.121,,,2020-10-09 05:11:38,2020-10-09 05:11:38,0.372s,PASSED
waitForPageLoad(0),Chrome 85.0.4183.121,,,2020-10-09 05:11:38,2020-10-09 05:11:38,0.102s,PASSED
"com.CommonUtilities.Verifications.VerifyTextMatch(getUrl(), studenturl + ""favorites"", ""When click Favorites top nav the favorites page not opened"")",Chrome 85.0.4183.121,,,2020-10-09 05:11:38,2020-10-09 05:11:38,0.021s,PASSED
